Constituent ID,Constituent type,Constituent codes,Lifetime giving,First gift amount,First gift type,First gift date,Latest gift amount,Latest gift type,Latest gift date,Greatest gift amount,Greatest gift type,Greatest gift date,Prospect status,Last action category,Last action date,Prospect classification,Gender,Spouse,Tags,BPI - Bass Society,"Committee, WSF Board+","Committee, WSF-Driven","Committees, Outside",Community Groups,"Events, BPI","Events, Community Conversations","Events, Donor","Events, PA","Events, Prospect","Events, Sponsor","Events, Volunteer","Events, Womens Fund","Events, WSF",Legacy,Original Building Donor - 2014,Stewardship Letters,Tax Status,Echo Award,Date added,Solicit codes,Professional Advisors,Prospect Type,Transformational Donor
1996.MID.02314,Organization,Professional Advisor (No start date - No end date),325827318.3,5000,One-time gift,6/20/1997,125000000,One-time gift,6/29/2021,125000000,One-time gift,6/29/2021,Pending Ask,Meeting,4/14/2022,Centennial A,,0,Lapsing donor;No contact;No meeting,,,,,,,,,,,,,,,0,,,,,9/10/1996,,,,
1315,Organization,Professional Advisor (No start date - No end date),109468339.8,250,One-time gift,4/6/2001,2350,One-time gift,9/19/2022,100000000,One-time gift,12/27/2017,,Mailing,8/4/2022,,,0,,,,,,,,,,,,Community Meeting-2019 Supporter (No date);Community Meeting-2018 Supporter (No date);Community Meeting-2017 Keynote (No date);Community Meeting-2016 Supporter (No date);Women's Fund Luncheon-Prospective Ask (No date);Community Meeting-Prospective Ask (No date);Community Meeting-2015 Supporter (No date);Community Meeting-2014 Supporter (No date);Community Meeting-2013 Supporter (No date);Community Meeting-2012 Supporter (No date);Community Meeting-2011 Builder (No date);Community Meeting-2010 (No date);Community Meeting-2009 (No date);Community Meeting-2008 (No date);Community Meeting-2007 (No date);Community Meeting-2006 (No date);Community Meeting-2005 (No date);Community Meeting-2004 (No date);Community Meeting-2003 (No date);Community Meeting-2002 (No date),,,,0,,,,,3/7/2005,,,Mailing Recipient (No date),
1996.MID.00222,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),19500035.73,30000,One-time gift,4/6/1998,202359.5,Stock/property (sold),1/11/2022,488854.91,Stock/property (sold),4/20/2017,Cultivation,Mailing,8/4/2022,Next Century Ambassadors,Male,1,No contact;No meeting,,,Next Century Ambassador (No date),,Echo Council - Past Member (3/1/2004),,2016 Jamie Vollmer (No date),Donor Dinner (6/8/2022);2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2015 Eric Jensen Event (No date);2015 Burress Dinner (No date),,2018 Burress Dinner; Old Town (10/4/2018),,,,,1,,1,,,7/1/1996,,,,1
2019.1118,Organization,Estate (8/30/2019 - No end date),15343682.62,6574304.06,One-time gift,9/30/2019,17854.74,One-time gift,5/3/2022,6574304.06,One-time gift,9/30/2019,,Phone call,6/3/2020,,,0,,,,,,,,,,,,,,,,0,,,,,8/30/2019,,,,
2007.2694,Organization,Grant Requestor / Recipient (No start date - No end date);Grant Payee (No start date - No end date),13258908.58,25000,One-time gift,7/9/2009,260839.66,One-time gift,8/1/2015,6359311.95,One-time gift,11/1/2012,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,501 (c)(3) Public Charity (No date),,10/6/2007,No CLF Appeal,,,
2007.5756,Individual,Volunteer (No start date - No end date);Fundholder Portal Access (11/15/2021 - 12/31/2099),13021879.81,493900,Stock/property (sold),12/21/2007,1000000,Soft credit one-time gift,11/9/2022,1439000,Stock/property (sold),3/9/2015,,Email,4/13/2022,,Female,1,Recent gift;High wealth rating,,,Asset Development Committee - Past Member (No date),,,,,2017 Legacy Dinner (11/8/2017);GMP 2016 (10/25/2016),2012 Eisenberg Gathering (No date),,,,,,1,,,,,12/12/2007,No WSF Enews,,BPI (3/8/2019),1
2010.161,Individual,WSF Board Member - Current (2021 - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),13001377.74,493900,Soft credit stock/property (sold),12/21/2007,1000000,One-time gift,11/9/2022,1439000,Soft credit stock/property (sold),3/9/2015,Stewardship,Meeting,8/23/2022,Next Century Ambassadors,Male,1,Recent gift;High wealth rating,,1,Next Century Ambassador (No date),,,,2016 Jamie Vollmer (No date),Donor Dinner (6/8/2022);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);2017 Legacy Dinner (11/8/2017);GMP 2016 (10/25/2016);2016 Legacy Dinner (11/9/2016);2015 Community Conversation 10-20 (No date);2015 Eric Jensen Event (No date),,2018 Burress Dinner; Old Town (10/4/2018);2014 October Rooftop Cultivation Event (No date),,,,WSF Committee Dinner (5/3/2022),1,,,,,12/12/2007,,,BPI (3/8/2019),1
2018.1218,Individual,,12744636.64,499341.26,Soft credit stock/property (sold),12/21/2016,2019680,Stock/property (sold),12/27/2021,3625000,One-time gift,12/20/2018,,Phone call,1/21/2022,,Female,1,,,,,,,,,,,,,,,,1,,,,,7/1/1996,,,,
1997.MID.02783,Organization,Foundation (No start date - No end date),12120249.73,1000,One-time gift,6/20/1997,625000,Pledge payment,6/3/2022,15000000,Pledge,6/28/2016,,Email,10/20/2022,,,0,,,,,,,,,,,,Community Meeting-Prospective Ask (1/9/2018),,,,0,,,,,6/20/1997,,,Mailing Recipient (No date),
2011.983,Organization,,12000000,4000000,One-time gift,5/23/2011,4000000,One-time gift,5/23/2011,4000000,One-time gift,5/23/2011,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,6/6/2011,,,,
